,종별,기관명,전화번호,주소,경도,위도
43,종합병원,여수전남병원,061-640-7801,전라남도 여수시 좌수영로 49,127.728194,34.74511953
44,상급종합병원,연세의료원(신촌),02-2228-4301,서울특별시 서대문구 연세로 50-1,126.9408237,37.56140713
45,종합병원,예수병원,063-230-8861,전라북도 전주시 완산구 서원로 365,127.1326081,35.81433245
46,상급종합병원,원광대학교병원,063-859-2249,전라북도 익산시 무왕로 895,126.961518,35.96525791
47,종합병원,의료법인일심의료재단우리병원,031-542-0229,경기도 포천시 소흘읍 호국로 661,127.1481408,37.82748442
48,종합병원,제주대학교병원,064-717-2175,제주특별자치도 제주시 아란13길 15,126.5452008,33.46720843
49,상급종합병원,충북대학교병원,043-269-8819,충청북도 청주시 서원구 1순환로 776,127.4615815,36.62416671
50,상급종합병원,칠곡경북대학교병원,053-200-3040,대구광역시 북구 호국로 807,128.5652776,35.95614739
51,상급종합병원,학교법인 울산공업학원 울산대학교병원,052-230-1680,울산광역시 동구 방어진순환도로 877,129.4288047,35.52005932
52,상급종합병원,학교법인성균관대학삼성창원병원,055-233-8309,경상남도 창원시 마산회원구 팔용로 158,128.5919637,35.2429947
53,종합병원,한국원자력의학원 원자력병원,02-970-2043,서울특별시 노원구 노원로 75,127.0826932,37.62881598
54,종합병원,한림대학교부속춘천성심병원,033-240-5130,강원특별자치도 춘천시 삭주로 77,127.7392938,37.88376398
55,상급종합병원,화순전남대학교병원,061-379-7046,전라남도 화순군 화순읍 서양로 322,127.0032186,35.0611776
56,요양병원,효사랑가족요양병원,063-711-1100,전라북도 전주시 완산구 용머리로 77,127.1188362,35.80670415
57,요양병원,효사랑전주요양병원,063-259-2403,전라북도 전주시 완산구 팔달로 272,127.1441066,35.82643936
58,종합병원,의료법인 원광의료재단 원광종합병원,031-8077-7222,경기도 화성시 화산북로 21,127.0083185,37.20990713
59,종합병원,한양대학교의과대학부속구리병원,031-560-2963,경기도 구리시 경춘로 153,127.1325076,37.60127601
60,종합병원,강동경희대병원,02-440-6100,서울특별시 강동구 동남로 892,127.1569621,37.55316901
61,요양병원,경상북도립안동노인전문요양병원,054-861-6177,경상북도 안동시 남후면 남일로 1463,128.689432,36.52369297
62,상급종합병원,고려대학교 안암병원,02-920-6341,서울특별시 성북구 고려대로 73,127.0263579,37.58711178
63,종합병원,국립암센터병원,031-920-0471,경기도 고양시 일산동구 일산로 323,126.7833999,37.66322585
64,요양병원,보바스기념병원,031-786-3129,경기도 성남시 분당구 대왕판교로 155-7,127.0983262,37.35605117
65,종합병원,부평세림병원,032-509-5460,인천광역시 부평구 부평대로 175,126.7199335,37.50674157
66,상급종합병원,강북삼성병원,02-2001-2868,서울특별시 종로구 새문안로 29,126.9678123,37.56886701
67,종합병원,건양대학교병원,042-600-9450,대전광역시 서구 관저동로 158,127.3426483,36.30778199
68,종합병원,의료법인 플러스의료재단 단원병원,031-8040-5906,경기도 안산시 단원구 원포공원1로 20,126.8132427,37.30023566
69,상급종합병원,전남대학교병원,062-220-6918,광주광역시 동구 제봉로 42,126.9219841,35.14201248
70,종합병원,가톨릭대학교 성빈센트병원,031-881-8833,경기도 수원시 팔달구 중부대로 93,127.0274495,37.27792235
71,종합병원,가톨릭대학교의정부성모병원,031-820-3889,경기도 의정부시 천보로 271,127.0779487,37.75864989
72,상급종합병원,건국대학교병원,02-2030-8031,서울특별시 광진구 능동로 120-1,127.0720551,37.54123563
73,종합병원,의료법인효산의료재단안양샘병원,031-467-9300,경기도 안양시 만안구 삼덕로 9,126.9248212,37.39289124
74,종합병원,한림대학교강남성심병원,02-6960-1042,서울특별시 영등포구 신길로 1,126.9086996,37.49329976
75,종합병원,효산의료재단지샘병원,031-389-3740,경기도 군포시 군포로 591,126.9473179,37.35867166
76,종합병원,KS병원,062-975-9661,광주광역시 광산구 왕버들로 220,126.8331574,35.19793306
77,종합병원,가톨릭관동대학교 국제성모병원,032-290-3972,인천광역시 서구 심곡로100번길 25,126.6836455,37.54239799
78,종합병원,원광대학교산본병원,031-390-2528,경기도 군포시 산본로 321,126.933605,37.35941441
79,종합병원,인천세종병원,032-240-8419,인천광역시 계양구 계양문화로 20,126.7368531,37.53253828
80,상급종합병원,한양대학교병원,02-2290-8865,서울특별시 성동구 왕십리로 222-1,127.0456289,37.55863807
81,종합병원,서울특별시 서남병원,02-6300-9088,서울특별시 양천구 신정이펜1로 20,126.8331299,37.51201936
82,종합병원,의료법인혜원의료재단 세종병원,032-340-1842,경기도 부천시 호현로 489,126.7928674,37.48116647
83,상급종합병원,인제대학교부속부산백병원,051-890-8821,부산광역시 부산진구 복지로 75,129.0205715,35.14645447
84,종합병원,재단법인광주기독병원,062-650-5652,광주광역시 남구 양림로 37,126.9131011,35.13699847
85,상급종합병원,학교법인동은학원순천향대학교부속천안병원,041-570-2837,충청남도 천안시 동남구 순천향6길 31,127.1346737,36.80290642
86,상급종합병원,경상국립대학교병원,055-750-9345,경상남도 진주시 강남로 79,128.096027,35.17538996
87,상급종합병원,고려대학교부속안산병원,031-8099-6400,경기도 안산시 단원구 적금로 123,126.8249973,37.31885818
88,상급종합병원,삼성서울병원,02-3410-1060,서울특별시 강남구 일원로 81,127.0895916,37.49034577
89,요양병원,의료법인희연의료재단희연병원,055-270-2525,경상남도 창원시 성산구 원이대로393번길 25,128.6625599,35.23996166
90,종합병원,한국보훈복지의료공단부산보훈병원,051-601-6565,부산광역시 사상구 백양대로 420,129.0082528,35.15289185
91,요양병원,(의)참예원의료재단 서초참요양병원,02-6081-2114,서울특별시 서초구 양재대로 54,127.0253592,37.4597643
92,요양병원,(의)참예원의료재단 성북참요양병원,02-912-2114,서울특별시 성북구 북악산로1길 71,127.0051953,37.59765622
93,병원,(재)원불교 원병원,063-843-3582,전라북도 익산시 익산대로25길 18,126.9523866,35.96677954
94,종합병원,국립중앙의료원,02-2276-2260,서울특별시 중구 을지로 245,127.005483,37.5677252
95,병원,의료법인 의왕시티의료재단 시티병원,031-340-2235,경기도 의왕시 오전천로 29,126.976795,37.35027993
96,요양병원,의료법인참예원의료재단강남구립행복요양병원,02-6053-2114,서울특별시 강남구 헌릉로590길 60,127.103324,37.46117789
97,요양병원,의료법인참예원의료재단송파참노인전문병원,02-409-2114,서울특별시 송파구 마천로 164,127.1374058,37.50353741
98,종합병원,인천광역시의료원,032-580-6264,인천광역시 동구 방축로 217,126.6686646,37.47881474
99,종합병원,대진의료재단분당제생병원,031-779-5020,경기도 성남시 분당구 서현로180번길 20,127.121779,37.38820316
100,종합병원,의료법인나사렛의료재단나사렛국제병원,032-899-9527,인천광역시 연수구 먼우금로 98,126.6704859,37.40794993
101,종합병원,경기도의료원파주병원,031-940-9172,경기도 파주시 중앙로 207,126.7796379,37.75488021
102,종합병원,대구의료원,053-560-7376,대구광역시 서구 평리로 157,128.5385415,35.85967414
103,종합병원,서울성심병원,02-959-2234,서울특별시 동대문구 왕산로 259,127.0498199,37.5841886
104,종합병원,의료법인루가의료재단나은병원,032-580-9454,인천광역시 서구 원적로 23,126.6797819,37.48905919
105,종합병원,한림대학교동탄성심병원,031-8086-2130,경기도 화성시 큰재봉길 7,127.0799516,37.21651577
106,상급종합병원,부산대학교병원,051-240-7716,부산광역시 서구 구덕로 179,129.0192221,35.10105418
107,요양병원,(의)백상의료재단가족사랑요양병원,063-540-1569,전라북도 김제시 하동1길 13,126.8918158,35.81679752
108,종합병원,강남병원,031-300-0186,경기도 용인시 기흥구 중부대로 411,127.1113158,37.2735446
109,상급종합병원,원주세브란스기독병원,033-741-1008,강원특별자치도 원주시 일산로 20,127.9467233,37.34911755
110,상급종합병원,강남세브란스병원,02-2019-1248,서울특별시 강남구 언주로 211,127.0463125,37.49280698
111,종합병원,경상북도 안동의료원,054-850-6550,경상북도 안동시 태사2길 55,128.7321552,36.56820002
112,요양병원,천안요양병원,041-569-5533,충청남도 천안시 동남구 삼룡천3길 10,127.1638993,36.79092819
113,종합병원,(의)백송의료재단 굿모닝병원,031-5182-7982,경기도 평택시 중앙로 338,127.1204592,36.99057703
114,상급종합병원,(학)일송학원한림대학교성심병원,031-380-5995,경기도 안양시 동안구 관평로170번길 22,126.9619708,37.3916512
115,종합병원,연세대의대부속용인세브란스병원,031-5189-9199,경기도 용인시 기흥구 동백죽전대로 363,127.1481886,37.27077583
116,상급종합병원,의료법인길의료재단길병원,032-460-3405,인천광역시 남동구 남동대로774번길 21,126.7096946,37.45209786
117,종합병원,(재)대구포교성베네딕도수녀회파티마병원,053-940-7003,대구광역시 동구 아양로 99,128.6229941,35.88384871
118,종합병원,충청남도 천안의료원,041-570-7384,충청남도 천안시 동남구 충절로 537,127.1792753,36.77548975
119,종합병원,의료법인오성의료재단동군산,063-440-0655,전라북도 군산시 조촌로 149,126.7369711,35.97754986
120,종합병원,을지대학병원,042-259-1247,대전광역시 서구 둔산서로 95,127.3819883,36.35529902
121,종합병원,의료법인 서울효천의료재단 에이치플러스 양지병원,070-4665-9427,서울특별시 관악구 남부순환로 1636,126.9325674,37.48437059
122,종합병원,한국보훈복지의료공단 중앙보훈병원,02-2225-4698,서울특별시 강동구 진황도로61길 53,127.1467189,37.5282209
123,종합병원,인제대학교 일산백병원,031-910-9704,경기도 고양시 일산서구 주화로 170,126.750382,37.67427506
124,상급종합병원,조선대학교병원,062-220-3418,광주광역시 동구 필문대로 365,126.9281849,35.13854788
125,종합병원,대자인병원,063-250-9231,전라북도 전주시 덕진구 견훤로 390,127.1533163,35.84599246
126,종합병원,삼육서울병원,02-2210-3074,서울특별시 동대문구 망우로 82,127.0633061,37.5892349
127,상급종합병원,계명대학교동산병원,053-258-6368,대구광역시 달서구 달구벌대로 1035,128.4801297,35.85388729
128,종합병원,명지병원,031-810-5261,경기도 고양시 덕양구 화수로14번길 55,126.8309492,37.64219898
129,종합병원,해남우리종합병원,061-530-7273,전라남도 해남군 옥천면 해남로 597,126.6469225,34.58438004
130,종합병원,동국대학교일산불교병원,031-961-7114,경기도 고양시 일산동구 동국로 27,126.8055658,37.67643678
131,상급종합병원,이대의대부속목동병원,02-2650-2654,서울특별시 양천구 안양천로 1071,126.886746,37.53698302
132,종합병원,인제대학교해운대백병원,051-797-0037,부산광역시 해운대구 해운대로 875,129.1821634,35.17325877
133,종합병원,의료법인 성수의료재단 인천백병원,032-280-8162,인천광역시 동구 샛골로 214,126.6458042,37.48173976
134,상급종합병원,동아대학교병원,051-240-5405,부산광역시 서구 대신공원로 26,129.0180245,35.11954464
135,요양병원,부천시립노인전문병원,032-713-7358,경기도 부천시 까치로 26,126.8083757,37.50918148
136,요양병원,전남제일요양병원,061-900-1168,전라남도 화순군 화순읍 덕음로 999,126.9850055,35.04915958
137,종합병원,경기도의료원 수원병원,031-888-0559,경기도 수원시 장안구 수성로245번길 69,126.9963821,37.29185914
138,종합병원,의료법인 남촌의료재단 시흥시화병원,031-5189-0087,경기도 시흥시 옥구천서로 337,126.7245602,37.35292051
139,종합병원,(의)한마음재단하나병원,043-230-6190,충청북도 청주시 흥덕구 2순환로 1262,127.4309413,36.62352452
140,종합병원,의료법인 인천사랑병원,032-457-2130,인천광역시 미추홀구 미추홀대로 726,126.6806832,37.46219722
141,상급종합병원,양산부산대학교병원,055-360-4571,경상남도 양산시 물금읍 금오로 20,129.0060088,35.32780845
142,병원,서울특별시립서북병원,02-3156-3238,서울특별시 은평구 갈현로7길 49,126.9056649,37.60435804
143,종합병원,제주한라병원,064-740-5315,제주특별자치도 제주시 도령로 65,126.4848019,33.49049469
145,종합병원,(의)동수원병원,031-210-0272,경기도 수원시 팔달구 중부대로 165,127.0343638,37.27816562
146,요양병원,순천생협요양병원,061-759-3300,전라남도 순천시 봉화로 62,127.4970167,34.95639726
147,종합병원,(학)가톨릭대학교 부천성모병원,032-340-2019,경기도 부천시 소사로 327,126.7924034,37.48704383
148,종합병원,의료법인 온그룹의료재단 온종합병원,051-607-0132,부산광역시 부산진구 가야대로 721,129.0498794,35.15785018
149,요양병원,의료법인 정선의료재단 온요양병원,051-607-0000,부산광역시 부산진구 가야대로 721,129.0498794,35.15785018
150,요양병원,하나노인전문병원,043-270-8114,충청북도 청주시 서원구 대림로 431,127.4405814,36.60995785
151,종합병원,의료법인인성의료재단 한림병원,032-540-8656,인천광역시 계양구 장제로 722,126.7343334,37.53224793
152,요양병원,한국보훈복지의료공단 서울요양병원,02-2225-1987,서울특별시 강동구 진황도로61길 53,127.1467189,37.5282209
153,의원,희연의원,055-270-9696,경상남도 창원시 성산구 원이대로393번길 25,128.6625423,35.2399619
154,종합병원,동국대학교의과대학경주병원,054-770-8138,경상북도 경주시 동대로 87,129.1967258,35.85830094
155,종합병원,서울특별시 동부병원,02-920-9349,서울특별시 동대문구 무학로 124,127.0315113,37.57535435
156,종합병원,동남권원자력의학원,051-720-5599,부산광역시 기장군 장안읍 좌동길 40,129.2443303,35.32184424
157,종합병원,홍익병원,02-2600-0776,서울특별시 양천구 목동로 225,126.863639,37.52848199
158,병원,샘물호스피스병원,031-329-2988,경기도 용인시 처인구 백암면 고안로51번길 112-25,127.4134602,37.13852555
159,병원,글로리병원,032-262-9000,인천광역시 부평구 길주로 655,126.735386,37.50715922
160,종합병원,가톨릭대학교 여의도성모병원,02-3779-2552,서울특별시 영등포구 63로 10,126.9367313,37.51827234
161,종합병원,인제대부속상계백병원,02-950-1974,서울특별시 노원구 동일로 1342,127.0631162,37.64858127
162,의원,사랑나무의원,053-217-9500,대구광역시 수성구 화랑로 112-1,128.6391507,35.87281563
163,의원,수원기독의원,031-254-6571,경기도 수원시 장안구 송정로118번길 21,127.0107864,37.29482852
164,종합병원,원진재단부설 녹색병원,02-490-2183,서울특별시 중랑구 사가정로49길 53,127.0860622,37.58356227
165,종합병원,대구보훈병원,053-630-7352,대구광역시 달서구 월곡로 60,128.5517101,35.80282935
166,종합병원,광주보훈병원,062-602-6016,광주광역시 광산구 첨단월봉로 99,126.8494957,35.20804961
167,종합병원,인산의료재단메트로병원,031-467-9824,경기도 안양시 만안구 명학로33번길 8,126.9356387,37.37828663
168,의원,인성기념의원,02-2135-3577,서울특별시 강동구 상암로 266,127.1519277,37.54618385
169,종합병원,현대병원,070-4395-0008,경기도 남양주시 진접읍 봉현로 21,127.1799008,37.71543602
170,종합병원,부산성모병원,051-933-7034,부산광역시 남구 용호로232번길 25-14,129.1091848,35.11051603
171,종합병원,목포한국병원,061-270-5576,전라남도 목포시 영산로 483,126.4162705,34.80938144
172,종합병원,의료법인한양의료재단남양주한양병원,031-510-5625,경기도 남양주시 오남읍 양지로 47-55,127.2043713,37.68231597
173,종합병원,의료법인한성재단포항세명기독병원,054-289-1477,경상북도 포항시 남구 포스코대로 351,129.3615706,36.01810082
174,종합병원,(의료법인)성삼의료재단 미즈메디병원,02-2007-1206,서울특별시 강서구 강서로 295,126.8358561,37.55218256
175,종합병원,강원도영월의료원,033-370-9220,강원특별자치도 영월군 영월읍 중앙1로 59,128.4648692,37.18647699
176,종합병원,경기도의료원 의정부병원,031-828-5357,경기도 의정부시 흥선로 142,127.0422415,37.7407929
177,병원,계명대학교의과대학경주동산병원,054-770-9432,경상북도 경주시 봉황로 65,129.2091388,35.84580283
178,병원,남천병원,031-390-2114,경기도 군포시 고산로 575,126.9259782,37.3646827
179,요양병원,더세인트요양병원,02-333-1119,서울특별시 구로구 경인로 218,126.845161,37.49625375
180,요양병원,아라요양병원,064-729-6005,제주특별자치도 제주시 한북로 309,126.5468743,33.45652881
181,요양병원,웰니스1004요양병원,053-570-1004,대구광역시 서구 달구벌대로 1889,128.5708486,35.86215408
182,병원,의료법인 서울효천의료재단 에이치플러스자립병원,02-1577-2588,서울특별시 구로구 공원로6가길 4,126.8915986,37.50189172
183,종합병원,의료법인 혜인의료재단 한국병원,064-750-0129,제주특별자치도 제주시 서광로 193,126.5170824,33.50026993
184,요양병원,제주사랑요양병원,064-783-7350,제주특별자치도 제주시 조천읍 신조로 203,126.6405622,33.51864224
185,병원,제주선한병원,064-735-3805,제주특별자치도 제주시 중앙로 616,126.5470215,33.46876945
186,종합병원,삼육부산병원,051-600-7561,부산광역시 서구 대티로 170,129.0109747,35.11206673
187,종합병원,혜명심의료재단울산병원,052-259-5167,울산광역시 남구 월평로171번길 13,129.3232393,35.54627393
188,종합병원,수영한서병원,051-998-1700,부산광역시 수영구 수영로 615,129.1128811,35.16104606
189,종합병원,의료법인거붕의료재단거제백병원,055-733-0830,경상남도 거제시 계룡로5길 14,128.6256268,34.87365452
190,요양병원,진천효병원,043-537-0035,충청북도 진천군 이월면 반지길 54,127.437464,36.88513687
191,종합병원,현대유비스병원,032-890-6950,인천광역시 미추홀구 독배로 503,126.6430056,37.46161007
192,요양병원,재단법인 제중의료복지재단 제중요양병원,02-837-7111,서울특별시 구로구 새말로 60,126.8866567,37.50321336
193,종합병원,부민병원,02-2620-0150,서울특별시 강서구 공항대로 389,126.8509026,37.55686248
194,종합병원,부산광역시의료원,051-607-2896,부산광역시 연제구 월드컵대로 359,129.0600535,35.18741943
195,요양병원,광주시립 제1요양병원,062-949-5210,광주광역시 광산구 삼도로 84-3,126.6670462,35.16300361
196,종합병원,인제대학부속백병원,02-2270-0439,서울특별시 중구 마른내로 9,126.9886722,37.56482718
197,종합병원,(재)천주교부산교구메리놀병원,051-461-2613,부산광역시 중구 중구로 121,129.0320286,35.10719161
198,종합병원,충청북도충주의료원,043-871-0471,충청북도 충주시 안림로 239-50,127.9704059,36.97931554
199,종합병원,충청남도서산의료원,041-689-7431,충청남도 서산시 중앙로 149,126.4658947,36.77551802
200,종합병원,(의)안동병원,054-840-0433,경상북도 안동시 앙실로 11,128.7010914,36.54672709
201,종합병원,대전보훈병원,042-939-0482,대전광역시 대덕구 대청로82번길 147,127.4396956,36.44731505
202,요양병원,녹십초요양병원,02-848-2452,서울특별시 동작구 시흥대로 634,126.9066205,37.48838585
203,병원,재단법인 정토마을 자재병원,052-255-8405,울산광역시 울주군 상북면 소야정길 216-39,129.0679756,35.60555629
204,요양병원,첨단요양병원,053-669-1081,대구광역시 북구 대현로 19,128.6028877,35.88640767
205,요양병원,원주민중요양병원,033-732-0270,강원특별자치도 원주시 북원로 2636,127.9463189,37.37874548
206,종합병원,제주도서귀포의료원,064-730-3188,제주특별자치도 서귀포시 장수로 47,126.563889,33.25606706
207,병원,지방공사제주도의료원,064-720-2285,제주특별자치도 제주시 산천단남길 10,126.559604,33.4457194
208,요양병원,의료법인참사랑재단참사랑병원,043-298-9100,충청북도 청주시 서원구 청남로 1910,127.4805171,36.60357127
209,종합병원,(재)포항성모병원,054-260-8013,경상북도 포항시 남구 대잠동길 17,129.3399072,36.01580826
210,종합병원,에스포항병원,054-289-9240,경상북도 포항시 남구 희망대로 352,129.3314003,36.0348229
211,요양병원,이손요양병원,055-780-1008,울산광역시 울주군 삼남면 하방로 39,129.0903452,35.50644513
212,종합병원,이화여자대학교의과대학부속서울병원,02-6986-3242,서울특별시 강서구 공항대로 260,126.8362659,37.55726115
213,요양병원,한결요양병원,053-591-9111,대구광역시 달서구 대명천로 15,128.557612,35.8390227
214,종합병원,경기도립의료원안성병원,031-8046-5273,경기도 안성시 남파로 95,127.2603664,37.01735255
215,종합병원,경기도의료원이천병원,031-630-4296,경기도 이천시 경충대로 2742,127.4332376,37.28282368
216,병원,엠마오사랑병원,063-230-5394,전라북도 전주시 완산구 서원로 402-35,127.1369564,35.81287835
217,종합병원,명지성모병원,1899-1475,서울특별시 영등포구 도림로 156,126.8992545,37.49385071
218,요양병원,행복한시니어스요양병원,042-253-5800,대전광역시 중구 보문산로 359,127.4157675,36.31412868
219,종합병원,동강병원,052-241-1558,울산광역시 중구 태화로 239,129.3020903,35.55342691
220,요양병원,한남요양병원,042-628-7557,대전광역시 대덕구 한밭대로 1150,127.4262808,36.35858449
221,종합병원,의료법인 을지병원,02-970-8568,서울특별시 노원구 한글비석로 68,127.0695911,37.6365585
222,종합병원,강원특별자치도삼척의료원,033-570-7468,강원특별자치도 삼척시 오십천로 418,129.1633445,37.44032696
223,종합병원,경기도의료원 포천병원,031-539-9471,경기도 포천시 포천로 1648,127.1982405,37.90330308
224,종합병원,경상북도김천의료원,054-429-8270,경상북도 김천시 모암길 24,128.1259993,36.12266843
225,요양병원,다올의료재단 메트로요양병원,055-552-0013,경상남도 창원시 진해구 용원로 37,128.8133849,35.0999866
226,의원,연세메디람의원,031-921-0111,경기도 고양시 일산서구 탄중로233번길 25,126.7703919,37.69462011
227,요양병원,연세베스트요양병원,02-6959-9600,서울특별시 영등포구 여의대방로 203,126.9219897,37.50536835
228,종합병원,영주적십자병원,054-630-0176,경상북도 영주시 대학로 327,128.6040035,36.82525797
229,요양병원,울산광역시립노인병원,052-231-7905,울산광역시 울주군 온양읍 덕남로 243,129.2976075,35.42198831
230,종합병원,좋은문화병원,051-630-0875,부산광역시 동구 범일로 119,129.058912,35.14041624
231,병원,진안군의료원,063-430-7108,전라북도 진안군 진안읍 진무로 1145,127.4317205,35.79524837
232,종합병원,근로복지공단 창원병원,055-280-0410,경상남도 창원시 성산구 창원대로 721,128.6724239,35.218748
233,종합병원,의료법인 우리의료재단 김포우리병원,031-999-1200,경기도 김포시 감암로 11,126.7107487,37.63232861
234,종합병원,오산한국병원,031-379-8339,경기도 오산시 밀머리로1번길 16,127.0752711,37.14119786
235,요양병원,다나힐요양병원,041-590-7701,충청남도 천안시 서북구 직산읍 석양길 4,127.107215,36.88615685
236,요양병원,대정요양병원,041-730-2840,충청남도 논산시 상월면 계룡산로237번길 38-60,127.1591989,36.30986126
237,요양병원,의료법인밝은마음의료재단유성한가족요양병원,042-611-9754,대전광역시 유성구 온천동로 43,127.35066,36.35536623
238,종합병원,안동성소병원,054-850-8893,경상북도 안동시 서동문로 99,128.7228072,36.56715696
239,종합병원,의료법인 인당의료재단 해운대 부민병원,051-602-8000,부산광역시 해운대구 해운대로 584,129.1556561,35.16142041
240,종합병원,충청남도홍성의료원,041-630-6039,충청남도 홍성군 홍성읍 조양로 224,126.6739096,36.59902947
241,요양병원,안동요양병원,054-820-1330,경상북도 안동시 전거리길 57,128.7443428,36.56000313
242,요양병원,의료법인 푸른솔의료재단 김해한솔재활요양병원 ,055-329-3340,경상남도 김해시 김해대로 2379,128.8869292,35.22725155
243,종합병원,(법)인화재단한국병원,043-252-6677,충청북도 청주시 상당구 단재로 106,127.4962776,36.61985321
244,종합병원,한도병원,031-8040-1574,경기도 안산시 단원구 선부광장로 103,126.8076208,37.33405503
245,종합병원,의료법인영서의료재단천안충무병원,041-570-5470,충청남도 천안시 다가말3길,127.1314908,36.7974204
246,종합병원,충청남도공주의료원,041-962-1230,충청남도 공주시 무령로 77,127.1094976,36.45887778
247,종합병원,검단탑병원,032-590-0300,인천광역시 서구 청마로19번길 5,126.6707151,37.59262358
248,종합병원,참조은병원,031-881-9424,경기도 광주시 광주대로 45,127.2602404,37.41093027
249,요양병원,엔젤요양병원,063-860-0124,전라북도 익산시 함열읍 익산대로 1493-1,126.9606185,36.05309533
250,종합병원,아산충무병원,041-536-6628,충청남도 아산시 문화로 381,127.0199489,36.7792925
